,,,,,,,,,,
,,,,,,,,,,
,ID,Title,INPUT,Expected result,Status,requirement clause,,,,
,Поле Name,,,,,,,,,
,Проверка валидации,,,,,,,,,
,1,Ввести валидные данные во все поля формы,"                          *
Name: Vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,Date tested,2022
,2,Ввести валидные данные во все обязательные поля формы,"Name: Vladimir
Surname:
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir,FAIL,Bug_1,,1.1,Tester,Igog
,"
Ввести данные в поле Name * -(в остальные поля формы ввести валидные данные)",,,,,,?,,Environment,"ОС: Windows 10 pro(версия: 20H2);
Сборка ОС:19042.1348;
Браузер: Google Chrome Version 102.0.5005.63 (Official Build) (64-bit)
"
,3,Ввести валидные данные на латинице в поле Name,"Name: VlaDimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: VlaDimir Ivanov,PASS,,,,Test item,http://itcareer.pythonanywhere.com
,4,Ввести валидные данные используя латиницу и цифры в поле Name,"Name: Vladimir786
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Success! Hello: Vladimir786 Ivanov,PASS,,,,,
,5,"Ввести валидные данные используя спецсимвол точку ""."" в конце.","Name: Vladimir.
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Success! Hello: Vladimir. Ivanov,PASS,,,,,
,6,"Вести валидные данные используя спецсимвол пробел "" "" два раз подряд в конце слова, в поле Name","Name: Vladimir  
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
,7,Ввести валидные данные в верхнем регистре,"Name: VLADIMIR
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Success! Hello: VLADIMIR Ivanov,PASS,,,,,
,8,Ввести валидные данные в поле Name в нижнем регистре,"Name: vladimir
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Success! Hello: vladimir Ivanov,PASS,,,,,
,9,"Вести валидные данные в поле  Name со спецсимволом пробел "" "" в конце","Name: Vladimir 
Surname: Ivanov
Email: Vasyaivanov@spaceweb.com
Password: Ka5@tewung",Пользователь зарегестрирован. Под формой регистрации сообщение: Success! Hello: Vladimir Ivanov,PASS,,,,,
